,Date,skew
164,2015-12-28,100.01087696799657
165,2015-12-29,100.16279582583486
166,2015-12-30,99.69276692318712
167,2015-12-31,99.20302453460822
168,2016-01-04,84.0663675467717
169,2016-01-05,90.12686278700488
170,2016-01-06,92.52085428669734
171,2016-01-07,56.64411470188179
172,2016-01-08,92.09122457799295
173,2016-01-11,82.28033438212246
174,2016-01-12,90.07660273544325
175,2016-01-13,88.46801953657686
176,2016-01-14,94.39007745522746
177,2016-01-15,87.82848129424397
178,2016-01-18,91.72666096226038
179,2016-01-19,94.96040462049088
180,2016-01-20,90.2390081094535
181,2016-01-21,86.59581276785411
182,2016-01-22,90.77848631181723
183,2016-01-25,91.33501350463565
184,2016-01-26,76.12238028845874
185,2016-01-27,88.45066758937116
186,2016-01-28,86.14206479652492
